MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
S.P. Muddahanumegowda,Elected,18-May-14,In office,First,Industry,Karnataka,Tumkur,Indian National Congress,Male,Professional Graduate,"B.A., L.L.B.",63,101,0,529,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
S.P.Y. Reddy,Elected,18-May-14,In office,Third,Water Resources ,Andhra Pradesh,Nandyal,Yuvajana Sramika Rythu Congress Party,Male,Professional Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",67,0,0,0,14%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
S.R. Vijayakumar,Elected,18-May-14,In office,First,Railways ,Tamil Nadu,Chennai Central,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L.",43,58,0,701,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
S.S. Ahluwalia,Elected,18-May-14,In office,First,No,West Bengal,Darjeeling,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. Educated at St. Joseph School, Asansol, Bidhan Chandra College, Burdwan University and University College of Law, Calcutta University, West Bengal",66,30,0,0,87%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,16.9,0.2,42,65%
Sadashiv Kisan Lokhande,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Maharashtra,Shirdi,Shiv Sena,Male,Inter/ Higher Secondary,Higher Secondary,55,18,5,471,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Sadhu Singh,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Punjab,Faridkot,Aam Aadmi Party,Male,Post Graduate,M.A. (English),77,5,0,43,53%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Sajda Ahmed,Elected,5-Feb-18,In office,First,No,West Bengal,Uluberia,All India Trinamool Congress,Female,Graduate,B.A. (H); University of Calcutta,57,0,0,3,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),1.1,0,15,80%,0.6,0,5,65%
Sakuntala Laguri,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Odisha,Keonjhar,Biju Janata Dal,Female,Matric,Matric,37,10,0,254,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Sambasiva Rayapati Rao,Elected,18-May-14,In office,Fifth,Finance,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",74,5,0,335,40%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Sandhya Roy,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",West Bengal,Medinipur,All India Trinamool Congress,Female,Under Matric,Information not available,76,1,0,0,51%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Sanjay (Bandu) Haribhau Jadhav,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Maharashtra,Parbhani,Shiv Sena,Male,Matric,Matric,50,21,0,218,57%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Sanjay Jaiswal,Elected,18-May-14,In office,Second,Health and Family Welfare,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",52,79,7,287,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Sanjay Shamrao Dhotre,Elected,18-May-14,In office,Third,Agriculture,Maharashtra,Akola,Bharatiya Janata Party,Male,Professional Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",59,26,0,497,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Sanjaykaka Patil,Elected,18-May-14,In office,First,Water Resources ,Maharashtra,Sangli,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Higher Secondary,53,12,0,175,58%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Sanjeev Kumar Balyan,Elected,18-May-14,In office,First,No,Uttar Pradesh,Muzaffarnagar,Bharatiya Janata Party,Male,Doctorate,Ph.D. in Veterinary Anatomy,45,0,0,2,90%,"This MP was a minister till Sep 2017. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",3.6,0.2,27,80%,5.6,0.2,19,87%
Sankar Prasad Datta,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Tripura,Tripura West,Communist Party of India (Marxist),Male,Post Graduate,"M.A., LL.B.",60,131,5,242,76%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,117.5,2.5,249,78%
Santokh Singh Chaudhary,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Punjab,Jalandhar,Indian National Congress,Male,Professional Graduate,"B.A., L.L.B.",71,25,1,55,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Santosh Ahlawat,Elected,18-May-14,In office,First,Human Resource Development,Rajasthan,Jhunjhunu,Bharatiya Janata Party,Female,Professional Post Graduate,"M.A., M.Ed.",60,91,0,537,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Santosh Kumar,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Bihar,Purnia,Janata Dal (United),Male,Inter/ Higher Secondary,Intermediate,42,22,0,131,68%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Santosh Kumar Gangwar,Elected,18-May-14,In office,Seventh,No,Uttar Pradesh,Bareilly,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B.; Educated at Agra University and Rohilkhand University, Bareilly (Uttar Pradesh)",69,0,0,0,N/A,"This MP was a minister till Sep 2017. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",0,0,0,N/A,0,0,0,N/A
Sanwar Lal Jat,Elected,18-May-14,09/08/2017,First,No,Rajasthan,Ajmer,Bharatiya Janata Party,Male,Doctorate,"M.Com., P.H.D.",63,0,0,3,53%,"This MP was a minister between Nov 2014 to 4 Jul, 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014 and from 18th Jul, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",24,0.7,95,80%,41.6,1,113,88%
Sarbananda Sonowal,Elected,18-May-14,28/05/2016,Second,No,Assam,Lakhimpur,Bharatiya Janata Party,Male,Professional Graduate,"LL.B., B.C.J.; Educated at Dibrugarh University and, Gauhati University",55,0,0,0,N/A,"This MP was a minister till 4 Jul, 2016. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance deta (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",0,0,0,N/A,0,0,0,N/A
Sarfaraz Alam,Elected,16-Mar-18,In office,First,No,Bihar,Araria,Rashtriya Janata Dal,Male,Information not available,Information not available,118,0,0,0,100%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),0,0,4,80%,0,0,2,88%
Satabdi Roy,Elected,18-May-14,In office,Second,Social Justice & Empowerment ,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,48,3,0,2,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Satish Chandra Dubey,Elected,18-May-14,In office,First,Labour ,Bihar,Valmiki Nagar,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,42,30,0,169,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Satish Kumar,Elected,18-May-14,In office,First,Labour ,Uttar Pradesh,Aligarh,Bharatiya Janata Party,Male,Matric,Matric,45,11,0,37,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Satya Pal Singh,Elected,18-May-14,In office,First,No,Uttar Pradesh,Baghpat,Bharatiya Janata Party,Male,Doctorate,"M.Sc., M.A., M. Phill, Ph.D., M.B.A.",62,103,2,23,96%,"This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",54.2,1.6,215,80%,88.8,1.1,142,87%
Satyapal Singh,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Sambhal,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B.",44,17,0,173,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Saugata Roy,Elected,18-May-14,In office,Third,Finance,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",70,196,5,487,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Saumitra Khan,Elected,18-May-14,In office,First,Commerce,West Bengal,Bishnupur,All India Trinamool Congress,Male,Matric,High School,37,8,0,6,65%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Savitri Bai Foole,Elected,18-May-14,In office,First,Railways ,Uttar Pradesh,Bahraich,Bharatiya Janata Party,Female,Post Graduate,M.A.,37,37,0,19,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Savitri Thakur,Elected,18-May-14,In office,First,Industry,Madhya Pradesh,Dhar,Bharatiya Janata Party,Female,Matric,Matric,39,12,0,45,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Shailesh Kumar Urph Bulo Mandal,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Bhagalpur,Rashtriya Janata Dal,Male,Graduate,Graduate,42,46,3,59,77%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Shanta Kumar,Elected,18-May-14,In office,Fourth,No,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at Panjab University and Delhi Law College, Delhi",83,0,0,13,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,32.8,0.8,159,90%
Sharad Bansode,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Maharashtra,Solapur,Bharatiya Janata Party,Male,Professional Graduate,LL.B.,50,6,0,36,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Sharad Tripathi,Elected,18-May-14,In office,First,External Affairs,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,Male,Post Graduate,M.A.,46,540,3,241,98%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Shashi Tharoor,Elected,18-May-14,In office,Second,External Affairs,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",62,69,8,399,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Shatrughan Sinha,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",71,0,0,0,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Sher Singh Ghubaya,Elected,18-May-14,In office,Second,Defence and Social Justice & Empowerment ,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,55,42,0,159,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Shibu Soren,Elected,18-May-14,In office,Eighth,"Food, Consumer Affairs & Public Distribution",Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",74,0,0,0,34%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,73.3,5.3,354,86%
Shivaji Adhalrao Patil,Elected,18-May-14,In office,Third,"Science & Technology, Environment & Forests",Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",61,28,9,879,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Shobha Karandlaje,Elected,18-May-14,In office,First,Defence,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,Female,Post Graduate,"M.A., MSW",51,102,0,607,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Shrikant Eknath Shinde,Elected,18-May-14,In office,First,Health and Family Welfare,Maharashtra,Kalyan,Shiv Sena,Male,Professional Post Graduate,"M.B.B.S., MS Orthpaedics (Final Yr.)",31,104,3,696,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-14,In office,Second,Labour ,Maharashtra,Satara,Nationalist Congress Party,Male,Diploma Course,"Production Engg., Educated at Bharati Vidyapeeth",52,0,0,0,28%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Shripad Yesso Naik,Elected,18-May-14,In office,Fourth,No,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shrirang Appa Barne,Elected,18-May-14,In office,First,Defence,Maharashtra,Maval,Shiv Sena,Male,Matric,10th Class,54,255,16,893,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Shyama Charan Gupta,Elected,18-May-14,In office,Second,Finance,Uttar Pradesh,Allahabad,Bharatiya Janata Party,Male,Professional Graduate,"B.A, LL.B. Educated at Kanpur University and Lucknow University (Uttar Pradesh)",73,25,0,57,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Sidhant Mohapatra,Elected,18-May-14,In office,Second,Water Resources ,Odisha,Berhampur,Biju Janata Dal,Male,Professional Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,51,6,0,0,68%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Siraj Uddin Ajmal,Elected,18-May-14,In office,First,External Affairs,Assam,Barpeta,All India United Democratic Front,Male,Under Graduate,B.Sc. (Final Year),60,28,0,242,36%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Sisir Kumar Adhikari,Elected,18-May-14,In office,Second,Rural Development ,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,76,0,0,192,46%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Sona Ram,Elected,18-May-14,In office,Fourth,Defence,Rajasthan,Barmer,Bharatiya Janata Party,Male,Professional Graduate,"B.E., Fellow (F.I.E.); Educated at Multipurpose Higher Secondary School, M.B.M. Engineering College, Jodhpur (Rajasthan) and Institute of Engineers (India)",72,39,0,321,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Sonia Gandhi,Elected,18-May-14,In office,Fourth,No,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",71,6,0,0,61%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Sreemati Dev Varma (Moon Moon Sen),Elected,18-May-14,In office,First,Industry,West Bengal,Bankura,All India Trinamool Congress,Female,Post Graduate,M.A.,63,1,0,0,66%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Subhash Baheria,Elected,18-May-14,In office,Second,No,Rajasthan,Bhilwara,Bharatiya Janata Party,Male,Graduate,F.C.A. (Chartered Accountant),61,47,0,37,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Subhash Patel,Elected,18-May-14,In office,First,Water Resources ,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Post Graduate,M.A.(Sociology),39,8,0,95,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Subhash Ramrao Bhamre,Elected,18-May-14,In office,First,No,Maharashtra,Dhule,Bharatiya Janata Party,Male,Professional Post Graduate,M.S. and Super Specialisation in Cancer Surgery,64,9,0,218,77%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,34.5,1.9,284,79%
Subrata Bakshi,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",West Bengal,Kolkata Dakshin,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LL.B.",67,0,0,0,26%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Sudarshan Bhagat,Elected,18-May-14,In office,Second,No,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sudhir Gupta,Elected,18-May-14,In office,First,Railways  and Water Resources ,Madhya Pradesh,Mandsour,Bharatiya Janata Party,Male,Post Graduate,M.Com,58,352,1,801,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Sudip Bandyopadhyay,Elected,18-May-14,In office,Fourth,Railways ,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",65,47,0,0,57%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Sugata Bose,Elected,18-May-14,In office,First,External Affairs,West Bengal,Jadavpur,All India Trinamool Congress,Male,Doctorate,"Ph.D. (University of Cambridge, 1983)",61,28,2,1,60%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Sukender Reddy Gutha,Elected,18-May-14,In office,Third,Energy,Telangana,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",64,13,0,307,51%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Sukhbir Singh Jaunapuria,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,Male,Graduate,B.Com.,60,66,10,256,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Sultan Ahmed,Elected,18-May-14,04/09/2017,Second,No,West Bengal,Uluberia,All India Trinamool Congress,Male,Graduate,"Calcutta University, West Bengal",64,16,0,232,56%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),54.2,1.6,215,80%,27.2,0.3,67,65%
Sumedhanand Saraswati,Elected,18-May-14,In office,First,Human Resource Development,Rajasthan,Sikar,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,66,72,0,440,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Sumitra Mahajan,Elected,18-May-14,In office,Eighth,No,Madhya Pradesh,Indore,Bharatiya Janata Party,Female,Post Graduate,"M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",74,N/A,N/A,N/A,N/A,"As a Speaker, this MP does not sign the attendance register and participate in debates and questions. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sunil Baliram Gaikwad,Elected,18-May-14,In office,First,Information Technology,Maharashtra,Latur,Bharatiya Janata Party,Male,Doctorate,"Ph.D., M.B.A. (Marketing), M.A.(Pol. Sc.), B.M.C.T., N.D., M.D.(Acu)",47,36,0,595,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Sunil Kumar Jakhar,Elected,15-Dec-17,In office,First,No,Punjab,Gurdaspur,Indian National Congress,Male,Post Graduate,MBA from Kurukshetra University,64,1,0,9,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),3.6,0.2,27,80%,2.6,0,16,69%
Sunil Kumar Mondal,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",West Bengal,Bardhaman Purba,All India Trinamool Congress,Male,Professional Graduate,"B.A., B.Ed.",59,7,0,296,85%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Sunil Kumar Singh,Elected,18-May-14,In office,First,Coal & Steel,Jharkhand,Chatra,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.A., M.A. (Sociology)",56,100,19,521,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,73.3,5.3,354,86%
Supriya Sule,Elected,18-May-14,In office,Second,External Affairs,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,"B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",48,82,16,938,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Suresh Channabasappa Angadi,Elected,18-May-14,In office,Third,Defence,Karnataka,Belgaum,Bharatiya Janata Party,Male,Professional Graduate,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",62,36,0,26,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Suresh Kodikunnil,Elected,18-May-14,In office,Sixth,Labour ,Kerala,Mavelikkara,Indian National Congress,Male,Professional Graduate,"B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",55,87,6,477,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
